aoteman 凹特曼
aotuman 凹凸曼
baga 八嘎
baguajie 八卦节
baibai 白白
baicaigongzhu 白菜公主
baidunainai 百度奶奶
baiduyixia 百度一下
baigujing 白骨精
baijia 败家
baijinzhuang 拜金妆
bainu 白奴
banban 斑斑
bandeng 板凳
banfu 板斧
banzhu 版主
banzhuan 板砖
bangshangyouming 榜上有名
bangzi 棒子
baobaotuan 抱抱团
baodatui 抱大腿
baohan 暴汗
baojuhua 爆菊花
baolixiong 暴力熊
baotou 爆头
baoyanggongzheng 包养公正
baozi 包子
beicui 悲催
beiju 杯具
benchinv 奔驰女
benming 本命
bensi 奔四
bengde 蹦的
bifangnv 逼房女
bihunzu 逼婚族
biti 鼻涕
bizui 闭嘴
bianbian 便便
bianlitienvhai 便利贴女孩
biantai 变态
biaoaizu 飙爱族
biemiliange 别迷恋哥
biemilianjie 别迷恋姐
bingxuecongming 冰雪聪明
boba 波霸
boke 博客
boli 玻璃
bolimen 玻璃门
bucaini 不睬你
buleibuyaoqian 不雷不要钱
bulini 不理你
caihua 菜花
cainiao 菜鸟
canlv 惨绿
cannian 残念
caogen 草根
caonima 草泥马
ceshi 测试
chedan 扯蛋 扯淡
chengjisihan 成吉思汗
chibaolechengde 吃饱了撑的
chihan 痴汉
chixinfang 吃信访
chiyu 吃鱼
chuanyuan 船员
chuanyuetie 穿越帖 穿越贴
chuanzhang 船长
chunge 春哥
chungejiao 春哥教
chunjingshui 纯净水
chunyemen 纯爷们
cibei 瓷杯
cichushenglueyiwanzi 此处省略一万字
cishanmen 慈善门
ciwawa 瓷娃娃
congnilai 葱你来
cucu 醋醋
cuxiaonvlang 促销女郎
cuihunleiyu 催婚雷语
cuinaishi 催奶师
cuiqingchuangdan 催情床单
cuoweihunyin 错位婚姻
dabaicai 大白菜
dabaichi 大白痴
dadao 大刀
daerwenjiang 达尔文奖
dagonglvxing 打工旅行
dahan 大汗
dajiahuangdi 打假皇帝
dajiangyou 打酱油
dajiaotongshidai 大交通时代
datie 打铁
daxia 大侠
dayanggouwuzu 打烊购物族
dazhangfu 大丈夫
daibiaomen 代表门
daidai 呆呆
daixiezhuanmaidian 代写专卖店
danbaizhi 蛋白质
dandan 蛋蛋
danding 淡定
dandingge 淡定哥
danmei 耽美
danmeilang 耽美狼
danshenshangji 单身商机
danteng 蛋疼
dantiaolo 单挑咯
dangyang 荡漾
daoju 道具
dengxin 邓欣
dengzi 凳子
ditanzu 低碳族
dianbozu 电波族
dianchenan 电车男
diannaoguafu 电脑寡妇
diantou 点头
dingchongjiating 丁宠家庭
dingkejiating 丁克家庭
dinglou 顶楼
dingtie 顶帖
dingzihu 钉子户
dongdong 东东
douniwan 豆你玩
doushimeixinnan 都市美信男
dukang 毒抗
duniang 度娘
dushidai 堵时代
duanziyuedu 段子阅读
