aidicha 矮地茶
aidichalilu 矮地茶藜芦
aifu 嗳腐
aifunuangongwan 艾附暖宫丸
aihao 艾蒿
aipian 艾片
aiqi 嗳气
aiye 艾叶
aiyeyou 艾叶油
angongniuhuangwan 安宫牛黄丸
anjing 暗经
anmian 安眠
anshen 安神
anshenji 安神剂
anshenwan 安神丸
antai 安胎
anxixiang 安息香
anyou 桉油
aoga 奥尕
awei 阿魏
badou 巴豆
badoushuang 巴豆霜
badouxiang 巴豆箱
bafeng 八风
bahuixue 八会穴
baibeichi 白贝齿
baibeiye 白背叶
baibiandou 白扁豆
baibing 白病
baibu 百部
baicaoshuang 百草霜
baichongwo 百虫窝
baichou 白丑
baidoukou 白豆蔻
baidusan 败毒散
baifan 白矾
baifuling 白茯苓
baifupian 白附片
baifuzi 白附子
baiguo 白果
baiguoren 白果仁
baihe 百合
baihebing 百合病
baiheche 白河车
baihedihuangtang 百合地黄汤
baihegujintang 百合固金汤
baiheshouwu 白何首乌
baihou 白喉
baihuanyu 白环俞
baihuashe 白花蛇
baihuasheshecao 白花蛇舌草
baihuchengqitang 白虎承气汤
baihuguizhitang 白虎桂枝汤
baihui 百会
baihuixue 百会穴
baihujiacangzhutang 白虎加仓术汤
baihujiaguizhitang 白虎加桂枝汤
baihujiao 白胡椒
baihujiarenshentang 白虎加人参汤
baihutang 白虎汤
baiji 白及 白芨
baijiang 白降
baijiangcan 白僵蚕
baijiangcao 败酱草
baijiangdan 白降丹
baijiaomu 白胶木
baijiaoxiang 白胶香
baijie 百节
baijiezi 白芥子
baijili 白蒺藜
baijing 白睛
baijinghongchi 白睛红赤
baijinghunchi 白睛混赤
baijingyixue 白睛溢血
baijuhua 白菊花
baikou 白蔻
baikouren 白蔻仁
bailao 百劳
bailian 白蔹
bailiangjin 百两金
bailishuang 百里霜
baimagu 白马骨
baimaiyizong 百脉一宗
baimaogen 白茅根
baimaohua 白茅花
baimi 白蜜
baimuer 白木耳
baipingzi 白平子
baiqian 白前
baiqiegen 白茄根
baiqiu 白求
baiqucai 白屈菜
bairike 百日咳
bairuicao 百蕊草
baisan 白散
baisebing 白涩病
baisezheng 白涩症
baishanglu 白商陆
baishao 白芍
baishen 白参
baishiying 白石英
baishouwu 白首乌
baisu 白苏
baitongtang 白通汤
baitouweng 白头翁
baitouwengjiagancaoejiaotang 白头翁加甘草阿胶汤
baitouwengtang 白头翁汤
baitouxu 白头须
baitugen 白兔根
